employee_id,full_name,email,department,office_location,employment_type,grade,budget,headcount,hours_worked,rating,notes,report_date
E00026,Sandra Aguilar,russellwilliams@nolan-flynn.com,Legal,Sydney,Casual,APS4,148039,3,877.3,4.7,,2023-03-16
E00027,Christine Wright,gomezanita@dickson-brady.org.au,HR,Adelaide,Part-time,APS2,77361,3,1597.5,4.5,Voluptate repellat sunt ad.,2024-01-14
E00028,Evelyn Galvan,josephcobb@reyes.info,Marketing,Adelaide,Full-time,SES1,147538,5,608.9,3.7,Dicta ullam expedita reprehenderit sit.,2023-05-18
E00029,Matthew Ross,michelle45@hicks.net.au,HR,Adelaide,Part-time,SES1,139276,2,1319.9,1.8,,2024-10-11
E00030,Ashley Waller,beverlyterrell@rodriguez.net.au,Marketing,Brisbane,Full-time,APS1,143136,4,1509.9,1.2,,2023-12-08
E00031,Emily Obrien,cruzbarbara@williams-graham.edu,Marketing,Brisbane,Contract,APS3,116057,5,116.4,1.3,,2024-12-08
E00032,Kimberly Ball,michaeljones@mccall.com.au,Legal,Canberra,Part-time,SES1,65482,3,719.9,4.7,Magni pariatur eveniet possimus mollitia.,2023-02-10
E00033,Maurice Gray,christinaturner@bass.edu.au,IT,Brisbane,Casual,APS2,175885,4,1755.5,4.0,,2023-08-31
E00034,Erica Ramos,williamleon@jackson.edu.au,Operations,Perth,Full-time,EL1,83509,3,1430.1,2.6,At veritatis doloremque est rem corporis.,2024-11-16
E00035,William Carr,gibsonolivia@lee.org.au,HR,Canberra,Full-time,EL1,172537,4,478.1,4.3,Omnis ab quibusdam quo.,2024-04-16
E00036,Jeffery Thompson,pwilliams@bryant.edu,IT,Adelaide,Full-time,APS4,146511,2,777.4,2.1,Nisi veniam tempora nostrum quaerat magnam rerum.,2023-03-13
E00037,Stephanie Manning,wcole@larsen.edu,Sales,Sydney,Casual,SES1,75118,3,403.6,4.9,Occaecati earum aspernatur enim earum eum molestiae.,2023-09-29
E00038,David Benson,calebrussell@owens.biz,Sales,Sydney,Casual,APS6,127033,1,754.8,3.3,,2023-09-18
E00039,Lauren Dominguez,wwoods@molina-castaneda.biz,Finance,Adelaide,Part-time,SES1,69171,3,1159.4,3.7,,2023-05-08
E00040,Morgan Marsh,tracynelson@johnson-rogers.biz,Sales,Brisbane,Contract,APS6,132667,2,426.1,3.7,,2024-01-24
E00041,Sara Calhoun,meadowsbrittany@johnson.info,Marketing,Canberra,Full-time,EL1,99829,3,457.3,4.1,,2024-09-13
E00042,David Murphy,wmurphy@ramirez-bean.biz,Engineering,Canberra,Contract,APS4,164336,2,1220.0,2.1,Rerum iusto quibusdam amet veritatis.,2024-11-10
E00043,Barry Bernard,websterstefanie@combs.org,IT,Melbourne,Part-time,APS5,79313,1,178.6,4.9,,2024-09-17
E00044,John Wilson,stevenscott@jackson-lawson.com.au,IT,Hobart,Contract,EL1,79342,1,1617.5,4.4,Vitae autem ad est.,2023-04-20
E00045,Tina Sanders,charlesvaughn@sanchez.edu.au,Engineering,Canberra,Part-time,APS1,75906,4,326.7,2.9,,2024-06-27
E00046,Rebecca Knight,reedross@jones-holland.com,Engineering,Darwin,Contract,SES1,131810,4,1625.3,4.0,Reprehenderit autem vero odio repudiandae provident.,2024-05-01
E00047,Nicholas Sheppard,christina87@graham-simon.net,IT,Canberra,Contract,APS5,95992,4,231.7,2.1,Sequi rerum assumenda sunt doloribus iure.,2023-10-06
E00048,Jamie Johnson,hunter35@peterson-beard.net,HR,Canberra,Part-time,APS3,150957,2,1300.9,1.3,,2024-02-22
E00049,Kellie Lee,jenniferfreeman@vaughn.info,Sales,Hobart,Part-time,APS1,111049,5,1708.3,1.1,,2024-08-12
E00050,Alan Phillips,tholt@perkins.biz,Legal,Perth,Contract,APS5,169540,4,1015.0,3.9,,2024-09-09
E00051,Krista Bell MD,john13@wilson-herrera.org,Marketing,Sydney,Contract,EL1,104057,4,1331.1,4.4,,2023-05-11
E00052,Parker Hill,tina34@ward.com,Finance,Darwin,Contract,APS2,120515,2,185.5,2.5,Consectetur aliquid amet eos velit odit quidem.,2023-08-05
E00053,Adam Mitchell,lalexander@king.com.au,Sales,Perth,Contract,APS5,70735,4,133.0,3.2,,2023-12-25
E00054,Jennifer Jones,hernandezlisa@miller-wright.edu,Finance,Melbourne,Part-time,APS1,62671,5,359.0,1.5,,2024-11-16
E00055,Lisa Gibbs,kimberlyjames@evans-chapman.biz,IT,Brisbane,Casual,EL2,81992,5,1132.3,4.0,,2023-04-28
E00056,Marc Lynch,mezajared@baker.org,HR,Perth,Casual,APS1,179016,4,774.3,3.9,Cupiditate asperiores a ipsum nisi.,2023-03-19
E00057,David Mann,ojones@french-weber.org.au,Marketing,Canberra,Full-time,APS2,105508,5,828.2,2.5,Beatae dolore corrupti eaque consequuntur animi.,2024-06-02
E00058,Linda Holloway,scott74@powell.info,Sales,Brisbane,Full-time,EL2,116822,3,1180.5,4.3,,2024-12-25
E00059,Andrew Reynolds,cassandra01@hayden.edu.au,Marketing,Adelaide,Contract,SES1,168230,5,556.3,4.4,,2023-03-30
E00060,Yvonne Chambers,barbara27@pearson.edu.au,IT,Canberra,Contract,EL2,124789,3,409.1,1.8,Odio laudantium at expedita ex pariatur.,2023-09-22
E00061,Erin Steele,elaine68@gibson.net,Marketing,Perth,Full-time,SES1,127715,2,245.5,3.9,,2024-05-15
E00062,Wayne Powell,sandovalamy@brown-stone.edu.au,Engineering,Canberra,Full-time,EL2,72196,3,476.7,3.8,,2023-11-10
E00063,Lori Wolf,josephanderson@kim-wolfe.com.au,Legal,Canberra,Casual,EL1,119473,3,621.3,1.9,Voluptate non dolores.,2023-07-17
E00064,Juan Tran,walkermaureen@murray.org,Operations,Melbourne,Part-time,APS4,96241,5,1760.2,3.1,,2023-10-17
E00065,Dr. Jordan Hill PhD,jsanchez@reyes.edu,Marketing,Adelaide,Casual,APS4,61854,5,315.2,1.2,,2023-02-25
E00066,Breanna Jones,ymorgan@adams.edu.au,Operations,Canberra,Full-time,EL2,174389,1,1075.9,2.9,Voluptatum laudantium corrupti molestiae exercitationem mollitia molestiae iste.,2024-03-27
E00067,Colin Terry,xhall@williams-garner.biz,Finance,Sydney,Contract,APS5,68564,4,936.0,3.3,Voluptates recusandae officiis corrupti vitae commodi.,2024-12-03
E00068,Evelyn Garcia,dgarcia@bowen.org,Marketing,Hobart,Part-time,APS2,160197,4,1130.7,4.2,,2023-08-20
E00069,Richard Baker,vsantos@villarreal.info,Engineering,Perth,Contract,APS5,141399,1,1136.4,4.0,Alias architecto occaecati ullam voluptatum quia inventore.,2023-08-01
E00070,Mark Brennan,tjackson@williams.net,HR,Darwin,Part-time,APS3,69838,2,104.5,2.8,Fugiat corporis minus natus recusandae cumque.,2024-08-31
E00071,Seth Harvey,tyleraguilar@murray.info,IT,Perth,Casual,APS5,119510,1,1268.6,4.7,,2024-10-02
E00072,Adam Ballard,erica21@landry-huerta.net,IT,Adelaide,Casual,APS3,69359,1,382.1,2.2,,2024-08-05
E00073,Jessica Wright,james67@young.net.au,Engineering,Hobart,Contract,APS5,125597,5,939.5,1.3,,2023-02-10
E00074,Wendy Phillips,khill@osborne.info,Marketing,Adelaide,Full-time,APS1,90005,5,1098.1,1.1,,2024-11-19
E00075,Stephanie Parsons,catherinegomez@lee.org,Operations,Darwin,Contract,EL2,83788,5,841.0,4.3,Atque occaecati aliquam ratione alias facilis consectetur tenetur.,2023-04-04
E00076,Jason Gonzalez,alyssa42@sloan-raymond.net,Legal,Hobart,Full-time,APS6,172424,2,660.7,3.8,,2023-10-23
E00077,Gina Wilson,taylortammy@ramsey.edu,Finance,Sydney,Full-time,EL2,101224,3,649.6,4.9,,2024-02-18
E00078,Richard Smith,gibsonemily@baker.net.au,Engineering,Darwin,Full-time,EL1,84586,5,715.0,4.0,,2024-10-02
E00079,David Johnson,rose31@colon.biz,IT,Perth,Part-time,APS5,117424,4,306.4,4.9,,2024-09-15
E00080,Andrew Johnson,pwilson@taylor.edu,Marketing,Darwin,Full-time,SES1,132384,4,258.5,5.0,,2023-04-27
E00081,Patrick Moore,fpena@russell.net.au,Operations,Darwin,Casual,EL2,95838,4,1519.0,4.9,,2023-09-07
E00082,Jeremy Young,cory58@howard.com.au,Sales,Sydney,Part-time,APS4,96208,4,677.8,4.2,At distinctio odit voluptas amet ex voluptates.,2023-10-01
E00083,Christine Gallegos,brendali@murphy.edu.au,Marketing,Darwin,Part-time,EL2,123483,3,665.1,4.1,,2024-01-22
E00084,Scott Thomas,amberlindsey@guerrero.org,IT,Hobart,Contract,APS4,161652,4,174.2,4.0,Facere ratione nihil.,2024-12-23
E00085,Derek Martinez,vfox@alvarez.edu,Operations,Darwin,Full-time,EL2,76547,5,1741.1,2.3,Autem magnam veniam aliquam quos sint maxime itaque.,2023-04-13
E00086,Amy Mendoza,gsimmons@joseph-wallace.com.au,Engineering,Canberra,Part-time,APS1,145823,2,227.2,4.1,,2023-09-29
E00087,Charles Martinez,oscar98@chavez-jacobs.com.au,Sales,Sydney,Casual,APS2,172635,5,746.0,2.3,,2024-05-14
E00088,Ashley Pena,russellbeasley@morgan-chavez.biz,IT,Darwin,Part-time,APS5,116881,1,1392.6,3.8,Est est ducimus veritatis.,2023-04-13
E00089,Kara Davis,daviscolin@watson.edu,Marketing,Perth,Full-time,APS1,102516,1,598.7,2.5,,2023-05-30
E00090,Meagan Jenkins,uparrish@schmitt.net,Operations,Brisbane,Part-time,APS3,174142,4,1153.5,2.0,Aut magni culpa laboriosam sed expedita.,2024-08-20
E00091,Ashley Ramirez,lindsaybruce@austin.net,Marketing,Melbourne,Casual,EL2,177821,4,1632.1,3.7,,2023-06-11
E00092,Donald Farmer,michael22@sandoval.com,Legal,Melbourne,Contract,APS5,119878,3,438.7,2.5,Quia dolor in exercitationem.,2024-05-09
E00093,Nathan Frank,wareeric@williams.biz,Legal,Sydney,Casual,APS5,168794,4,566.6,3.3,,2024-12-03
E00094,Mr. Donald Fischer,reeddaniel@gregory.com,Engineering,Brisbane,Part-time,APS5,106179,2,1182.3,3.5,,2024-11-25
E00095,William Brown,kevinclark@duran.net.au,Finance,Brisbane,Contract,APS5,107823,2,253.2,2.2,Ab quia cupiditate fugit.,2024-03-01
E00096,Kathryn Whitaker,charles06@stevens.net.au,Legal,Melbourne,Casual,SES1,93681,4,1744.6,2.2,,2023-12-13
E00097,Laura Mckinney,zroberts@burch.edu.au,HR,Melbourne,Part-time,APS3,154924,4,1744.4,4.2,,2024-01-10
E00098,Michael Cox,prichard@chapman-warren.biz,Finance,Hobart,Full-time,APS5,119609,3,1243.8,3.7,,2024-08-21
E00099,Nichole Walker,charlesschultz@hicks.org,Legal,Melbourne,Part-time,APS2,141205,5,657.6,3.4,,2024-10-25
E00100,Charles Gonzalez,kathleenrios@bean.info,Engineering,Perth,Contract,APS5,65943,1,617.4,3.0,,2023-04-10
E00101,Justin Riley,michelle52@jones-ramos.net,Operations,Hobart,Contract,EL1,157404,5,812.5,4.0,,2023-06-08
E00102,Leslie Bell,collinsshannon@wood.com.au,Engineering,Melbourne,Casual,EL1,108566,2,853.8,4.8,,2024-01-07
E00103,Vanessa Davis,jford@huang.org.au,Legal,Melbourne,Casual,SES1,96160,2,1746.0,4.8,,2024-04-10
E00104,John Hernandez,hayeslisa@haas-miller.org,Finance,Perth,Casual,APS1,76505,5,448.8,4.3,,2024-07-21
E00105,Michael Ritter,michaelhardin@ortiz-morgan.edu.au,IT,Adelaide,Part-time,APS6,138116,1,571.4,4.9,,2023-05-14
E00106,Mark Cook,cody64@cummings-douglas.edu.au,HR,Sydney,Part-time,APS1,163544,2,1101.0,1.1,Ex nesciunt consequuntur expedita.,2023-09-29
E00107,Melissa Myers,collinsnicholas@li-santiago.edu,Sales,Melbourne,Full-time,SES1,157735,1,909.6,4.1,,2024-06-09
E00108,Michael Romero,coxhenry@peterson.org.au,IT,Melbourne,Casual,APS1,64082,1,1797.6,4.4,,2024-03-12
E00109,Chad Jones,romeroamber@stephenson.edu.au,Engineering,Canberra,Full-time,APS2,102219,5,352.2,1.5,Nisi culpa debitis possimus.,2024-10-01
E00110,Stephanie Griffith,jenkinserica@montes.net,Marketing,Perth,Contract,EL2,151983,1,1549.7,3.6,,2024-07-18
E00111,Rachel Young,kylestokes@mckee-lee.edu.au,IT,Adelaide,Casual,EL1,112262,4,1340.3,2.3,Iure eligendi fugit minima vitae repellendus.,2023-11-17
E00112,Brenda Wright,jsawyer@dawson.com.au,Operations,Brisbane,Full-time,EL2,71957,1,258.5,1.4,,2024-01-17
E00113,Phillip Nelson,mariahdavis@velasquez.com,Legal,Adelaide,Contract,APS2,147207,4,1575.8,3.9,Amet magnam doloremque voluptatum fugiat adipisci.,2023-10-22
E00114,Sara Santos,devinmitchell@horton-taylor.info,IT,Perth,Contract,APS3,74184,3,1537.1,2.5,,2023-10-13
E00115,Aaron Miller,jason28@lynch.org.au,Finance,Canberra,Full-time,APS5,83647,3,1294.6,2.2,Commodi dolores odit numquam aperiam.,2023-12-14
E00116,Kathryn Herrera,jennifercarter@mendez.edu.au,Operations,Hobart,Full-time,EL1,78595,1,256.0,3.1,,2024-01-21
E00117,Matthew Miller,carlos88@hartman.info,Operations,Brisbane,Casual,APS6,161821,5,1113.6,4.5,,2023-06-09
E00118,James Brooks,kellycarlos@quinn.com.au,Finance,Melbourne,Casual,APS2,115576,4,1132.0,2.7,Quasi ex aliquid molestias repellendus cupiditate quod iure.,2023-08-09
E00119,Lynn Cain,baldwinsherry@carter.org.au,HR,Sydney,Contract,APS5,100425,1,474.9,4.9,Et est id.,2023-02-26
E00120,Kara Johnson,justinatkins@glenn.net,IT,Hobart,Casual,APS3,75726,1,945.6,2.7,,2023-05-13
E00121,Jacob Preston,ykline@beltran-crawford.info,IT,Canberra,Casual,SES1,172953,1,841.6,2.8,,2023-03-21
E00122,Robert Adams,acostachristian@carney.com.au,Sales,Canberra,Casual,EL1,62733,3,392.2,4.8,Eveniet eos ipsum quaerat.,2024-04-16
E00123,Jeremy West,christina64@whitney.biz,HR,Perth,Contract,APS4,128676,1,772.8,2.2,Maiores quibusdam cum adipisci sed perspiciatis.,2023-12-14
E00124,Cameron Young,michael90@hernandez.info,Operations,Brisbane,Full-time,APS2,129547,5,429.6,4.1,Nemo minus id officiis.,2023-12-26
E00125,Brian Fitzgerald,jholmes@green.info,Operations,Darwin,Part-time,APS5,80036,1,401.1,4.1,,2024-05-20
E00126,Logan Benson,igonzalez@hayes.info,Engineering,Sydney,Casual,APS6,68950,4,851.8,2.2,Repellat voluptas voluptates pariatur.,2023-10-09
E00127,Krista Roberts,melissa25@walker.org.au,HR,Hobart,Contract,APS5,67456,3,1513.9,1.3,,2023-04-03
E00128,Allison Spencer,tanner82@henson.info,Finance,Canberra,Part-time,EL2,122341,5,356.5,1.2,,2023-04-16
E00129,Patricia Morrow,martinezlogan@cole.edu,HR,Brisbane,Part-time,SES1,152749,4,1784.7,3.1,Consectetur repudiandae mollitia nesciunt quisquam consectetur.,2024-09-16
E00130,Sheena Guerra,kevinmartin@perez.net,Marketing,Melbourne,Contract,EL1,148984,5,189.0,3.5,Dolorum odio mollitia commodi.,2023-12-09
E00131,Joseph Shaw,brittanycarpenter@hopkins.edu.au,Sales,Brisbane,Casual,APS5,146057,5,1584.6,2.3,,2024-08-19
E00132,Thomas Williams,millerstacy@baker.edu.au,Marketing,Brisbane,Part-time,EL1,71104,3,1050.2,3.6,,2023-12-03
E00133,Kathleen Burton,dawn47@ballard.biz,HR,Perth,Casual,EL1,100483,2,1717.0,2.4,Iste porro culpa impedit iure.,2024-05-12
E00134,Charles Hensley,jessica56@hodges.edu,Operations,Sydney,Full-time,APS3,98770,1,963.1,3.2,,2024-06-23
E00135,David Martinez,gwright@roberts.edu.au,Operations,Sydney,Part-time,EL1,168966,5,1475.4,1.7,,2024-03-24
E00136,Victor Barrera,sarah53@jimenez.info,IT,Perth,Casual,EL2,162734,4,497.8,2.0,Soluta libero at hic itaque dolores nesciunt.,2024-04-25
E00137,Douglas Harper,amitchell@jordan.net.au,Engineering,Brisbane,Casual,EL2,125916,5,811.7,1.6,,2023-07-24
E00138,Holly Morales,michaelroberts@gordon-duran.net,Finance,Adelaide,Casual,EL2,73446,5,1547.0,2.1,,2023-06-14
E00139,Lisa Carr,theresalong@grant-diaz.org,Operations,Hobart,Full-time,EL1,179341,2,1488.4,4.5,Nobis illo aliquam aliquam quae.,2023-01-28
E00140,Kelly Hernandez,markaustin@long.net,Legal,Canberra,Contract,APS4,109140,2,147.9,4.7,,2024-10-27
E00141,Katie Hicks,terickson@cabrera-richardson.com.au,Operations,Sydney,Casual,APS1,121925,2,1390.0,2.9,,2024-09-22
E00142,Lauren Robles,carlsonjoseph@patton.com,Finance,Perth,Part-time,APS5,131932,5,997.2,1.4,Laboriosam minima quam quo fugit reprehenderit doloribus nemo.,2023-10-23
E00143,Cheryl Alexander,shernandez@jenkins.info,Finance,Sydney,Contract,APS4,141633,4,206.8,4.3,,2024-05-26
E00144,Nancy Brown,aprilhoffman@mendoza.info,IT,Melbourne,Casual,APS3,140584,3,509.0,2.7,,2024-11-11
E00145,Gloria Gomez,chelsea33@grant-walker.net,Legal,Adelaide,Full-time,APS2,111177,4,174.0,2.5,,2024-01-18
E00146,Michele Vaughn,wstewart@peck.com.au,Legal,Brisbane,Casual,APS2,146127,1,1411.6,3.9,Perspiciatis fugit voluptatem repellendus veritatis rem enim.,2023-12-07
E00147,Miguel Reed,vdouglas@lewis-clayton.net,Legal,Sydney,Contract,APS3,122722,2,1479.5,1.3,Possimus consequatur nulla nesciunt doloribus pariatur minus.,2024-04-13
E00148,Amy Gutierrez,xgarcia@smith.org,Finance,Darwin,Full-time,APS4,101365,3,976.2,5.0,Officiis sunt labore officiis quidem enim.,2024-07-10
E00149,Anthony Mack,amandasharp@gentry.biz,IT,Hobart,Casual,APS5,66265,3,564.5,4.2,,2024-03-23
E00150,Casey Gillespie,lfrench@hayden.com,Sales,Hobart,Part-time,APS6,125211,3,1671.3,3.1,Necessitatibus autem voluptatem eligendi voluptatibus.,2023-03-26
E00151,Kathleen Mays,znelson@rivera.info,Operations,Hobart,Casual,SES1,70494,3,1223.6,2.2,Quaerat accusamus excepturi eos perferendis.,2024-09-09
E00152,Levi Fowler,gwilcox@miller-caldwell.org,Engineering,Sydney,Contract,APS6,174037,3,1145.2,2.7,Labore vel ab fugit.,2024-10-16
E00153,Derek Rivera,greenmichael@brown.info,Sales,Melbourne,Part-time,APS6,78714,5,1252.8,2.8,Cum placeat unde suscipit quo.,2023-05-10
E00154,Margaret Shepard,christina32@hernandez-adkins.edu.au,Legal,Canberra,Contract,APS6,64244,5,360.8,2.8,,2024-01-15
E00155,Michael Durham,kathleenbecker@marks.net.au,HR,Darwin,Casual,APS3,145139,3,524.3,1.5,,2023-07-10
E00156,Justin Brown,ashleyhernandez@bond-ramos.org.au,HR,Perth,Casual,APS5,88124,5,585.5,4.7,Laborum tempore ipsum animi consequatur impedit natus nam.,2024-05-17
E00157,Elizabeth Johnson,lisa39@williams.com.au,HR,Canberra,Part-time,EL2,118341,1,1477.9,4.9,,2023-11-24
E00158,Amy Shannon,ajohnson@mack.biz,Marketing,Perth,Part-time,APS5,151779,2,1449.3,3.0,,2023-05-05
E00159,Steven West,rbennett@baxter.com.au,IT,Brisbane,Full-time,EL2,107303,5,1072.9,2.9,,2024-07-18
E00160,Joshua Rice,maryavila@ford-ball.biz,HR,Melbourne,Casual,APS2,153969,4,993.7,4.1,Fugit dolorem itaque culpa deleniti soluta quisquam.,2024-08-11
E00161,Matthew Mendez,allencarlos@johnson.com,Legal,Brisbane,Contract,APS2,127811,3,318.2,4.3,,2024-07-18
E00162,Andrew Gonzales,karenparsons@gordon.org.au,Operations,Canberra,Full-time,EL1,168972,1,980.8,2.2,,2023-06-15
E00163,Monique Flores,joel28@gutierrez.com,IT,Adelaide,Casual,APS6,92847,2,1179.6,3.2,,2023-05-09
E00164,Leslie Moss,conniesimmons@williams-cooper.biz,HR,Canberra,Part-time,SES1,136106,2,391.0,3.5,,2024-09-11
E00165,Emma Butler,kevinwhite@wells.org,Finance,Hobart,Full-time,APS1,65958,5,549.9,1.8,,2024-08-08
E00166,Suzanne Hart,igrant@sanchez-harris.com.au,Finance,Adelaide,Casual,EL2,99596,4,516.3,4.2,,2024-02-20
E00167,Sarah Davis,brettbennett@morrison.edu.au,Finance,Canberra,Contract,APS3,120875,2,678.3,1.6,,2023-11-23
E00168,Kristin Mendoza,kevin03@hayden.info,Operations,Brisbane,Full-time,APS6,101827,2,893.0,2.1,Possimus provident id dolores eum.,2023-09-11
E00169,John Wong,jose87@garcia-zavala.info,Marketing,Perth,Contract,EL1,173417,2,1482.9,4.7,,2023-11-17
E00170,Erica Harris,robert93@thomas.edu.au,Engineering,Darwin,Contract,SES1,100441,4,139.4,4.8,,2024-06-01
E00171,Elizabeth Gonzalez,noahwhitaker@pierce-harding.net.au,IT,Darwin,Full-time,APS6,66624,3,941.3,4.5,Quis laborum quam qui itaque.,2024-10-31
E00172,Heather Taylor,iwhite@bernard.com.au,Finance,Sydney,Contract,APS2,94664,3,1398.6,2.5,,2024-02-15
E00173,Mary Duran,otaylor@jones.com,IT,Melbourne,Casual,APS6,126093,4,1399.5,2.1,Magni fuga nulla pariatur nulla.,2024-09-30
E00174,Mr. Aaron Arnold,smithjennifer@madden.biz,HR,Hobart,Casual,EL1,104444,5,1696.2,4.0,,2023-07-23
E00175,Susan Rodriguez,warrenjohn@fox.biz,Finance,Brisbane,Part-time,APS1,165377,4,982.9,1.6,Fuga illo natus voluptatibus.,2024-06-11
E00176,Michael Abbott,davisnicholas@alvarez.com.au,Legal,Darwin,Contract,APS3,156904,3,1109.3,3.0,,2024-06-05
E00177,Mr. Richard Knight PhD,jacobsonsamantha@lewis.edu.au,Marketing,Adelaide,Full-time,EL2,108281,3,1245.5,4.9,,2024-08-20
E00178,Anthony Jones,rachel90@mcfarland.com,Finance,Darwin,Casual,EL2,162616,5,1082.0,3.9,Nesciunt quibusdam quae id aspernatur.,2024-08-20
E00179,David Davenport,irhodes@reyes-singh.com.au,Sales,Brisbane,Part-time,APS3,151818,1,424.3,2.8,,2024-03-04
E00180,Valerie Brown,ehall@jacobs-austin.edu.au,IT,Canberra,Contract,EL1,156447,1,1299.8,3.1,,2024-07-28
E00181,Raymond Johnson,kristen77@kelly.biz,Engineering,Adelaide,Contract,SES1,82699,4,1650.6,2.4,,2023-12-29
E00182,Kevin James,lauren11@moore-dawson.org,IT,Darwin,Casual,APS4,89473,3,1411.0,3.8,Et autem a est facere earum.,2024-12-07
E00183,Cody Cole,fgarcia@spencer-carlson.net.au,Legal,Brisbane,Casual,SES1,135166,5,745.5,4.9,Accusamus impedit quod quam nam voluptatibus.,2023-12-20
E00184,Joseph Jennings,dominicturner@thomas-jackson.net,Marketing,Adelaide,Casual,APS2,145979,3,1370.5,1.9,,2024-07-05
E00185,John Jones,sheryl79@gonzalez.biz,Marketing,Perth,Full-time,APS3,140698,5,506.8,1.2,,2024-06-27
E00186,Manuel Brock,scott69@evans.org.au,Finance,Brisbane,Contract,APS2,121918,1,1258.0,1.5,,2024-07-17
E00187,Christopher Sanders,kelly79@nguyen.biz,Engineering,Perth,Part-time,EL2,97649,3,585.2,1.2,,2023-04-02
E00188,Timothy Gonzalez,erinpierce@murray.net,Finance,Brisbane,Contract,APS3,83040,1,1795.2,2.6,,2024-05-22
E00189,Andrea Abbott,ichambers@turner.biz,Marketing,Adelaide,Full-time,APS1,99110,5,1124.7,4.7,,2023-12-10
E00190,Angela Ewing,iaguilar@mclean.com,Engineering,Adelaide,Contract,APS3,166012,1,662.2,3.9,,2024-10-25
E00191,Heather Woodard,rodriguezjohn@kelly.biz,Finance,Hobart,Casual,APS6,159258,2,398.3,4.4,,2024-02-20
E00192,Erin Hogan,smithjonathan@burgess.org.au,HR,Adelaide,Full-time,EL1,84219,2,911.7,4.7,Fugiat iure perspiciatis porro corrupti voluptatum laboriosam.,2023-01-07
